ID,Author,Authsex,Bibliography,Comment,Conglomerate,Date,Dateorig,Genre,Lang,Medium,Name,Origlang,Subtype,Translation,Type,Dateorig_upraveny
2018-01-08-b-1,Margita Figuli,fem,"Figuli, Margita: Pokušenie. Bratislava: Slovenský spisovateľ 1959. 260 s.",,Margita Figuli - Pokušenie,1959,1937,col,slk,lib,Pokušenie,YYY,pro,org,img,1937
2018-02-08-c-1,Ján Hrušovský,msc,"Hrušovský, Ján: Jánošík. Bratislava: Mladé letá 1987. 385 s.",,Ján Hrušovský - Jánošík,1987,1933,nov,slk,lib,Jánošík,YYY,pro,org,img,1933
2018-02-09-g-1,Alfonz Bednár,msc,"Bednár, Alfonz: Hodiny a minúty. Bratislava: Slovenský spisovateľ 1964. 572 s.","bez novely Cudzí, uverejnená aj samostatne 1960",Alfonz Bednár - Hodiny a minúty,1964,1956,col,slk,lib,Hodiny a minúty,YYY,pro,org,img,1956
2018-03-08-e-1,Matej Vojtáš,msc,"Vojtáš, Matej: Tatárska pohroma. Košice: Východoslovenské vydavateľstvo 1970. 624 s.",,Matej Vojtáš - Tatárska pohroma,1970,1943,nov,slk,lib,Tatárska pohroma,YYY,pro,org,img,1943
2018-04-06-p-1,Ladislav Mňačko,msc,"Mňačko, Ladislav: Čo nebolo v novinách. Bratislava: Slovenské vydavateľstvo politickej literatúry 1958. 110 s.",,Ladislav Mňačko - Čo nebolo v novinách,1958,1958,ess,slk,lib,Čo nebolo v novinách,YYY,pro,org,img,1958
2018-04-06-u-1,Ladislav Mňačko,msc,"Mňačko, Ladislav: Marxova ulica. Bratislava: Mladé letá 1957. 148 s.",,Ladislav Mňačko - Marxova ulica,1957,1957,col,slk,lib,Marxova ulica,YYY,pro,org,img,1957
2018-08-02-b-1,Vladimír Mináč,msc,"Mináč, Vladimír: Smrť chodí po horách. In: Mináč, Vladimír: Smrť chodí po horách. Včera a zajtra. Bratislava: Slovenský spisovateľ 1971. S. 9 - 156.",,Vladimír Mináč - Smrť chodí po horách,1971,1948,nov,slk,lib,Smrť chodí po horách,YYY,pro,org,img,1948
2018-08-02-b-2,Vladimír Mináč,msc,"Mináč, Vladimír: Včera a zajtra. In: Mináč, Vladimír: Smrť chodí po horách. Včera a zajtra. Bratislava: Slovenský spisovateľ 1971. S. 157 - 313.",,Vladimír Mináč - Včera a zajtra,1971,1949,nov,slk,lib,Včera a zajtra,YYY,pro,org,img,1949
2018-08-20-d-1,Vladimír Mináč,msc,"Mináč, Vladimír: Modré vlny. In: Mináč, Vladimír: Modré vlny. Nikdy nie si sama. Bratislava: Slovenský spisovateľ 1971. S. 7 - 198.",Vybrané spisy Vladimíra Mináča zv. 3,Vladimír Mináč - Modré vlny,1971,1951,nov,slk,lib,Modré vlny,YYY,pro,org,img,1951
2018-08-28-a-1,Martin Kukučín,msc,"Kukučín, Martin: Dielo VI. Pražské črty a zápisky. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1960. 250 s.",Text obsahuje iba črty z vybraného diela,Martin Kukučín - Dielo VI. Pražské črty a zápisky,1960,1960,col,slk,lib,Dielo VI. Pražské črty a zápisky,YYY,pro,org,img,1960
2018-10-15-g-1,Vladimír Mináč,msc,"Mináč, Vladimír: Tmavý kút. In: Mináč, Vladimír: Kto kráča po ceste. Bratislava: Slovenský spisovateľ 1972. 512 s.",,Vladimír Mináč - Tmavý kút,1972,1960,col,slk,lib,Tmavý kút,YYY,pro,org,img,1960
2018-10-15-g-2,Vladimír Mináč,msc,"Mináč, Vladimír: Na rozhraní. In: Mináč, Vladimír: Kto kráča po ceste. Bratislava: Slovenský spisovateľ 1972. 512 s.",,Vladimír Mináč - Na rozhraní,1972,1954,col,slk,lib,Na rozhraní,YYY,pro,org,img,1954
2018-11-06-j-1,Terézia Vansová,fem,"Vansová, Terézia: Kliatba. Bratislava: Tatran 1968. 214 s.",,Terézia Vansová - Kliatba,1968,1926,nov,slk,lib,Kliatba,YYY,pro,org,img,1926
2019-01-15-v-1,Jozef František Kunik,msc,"Kunik, Jozef František: Šukar čajori. Krásne dievča. Bratislava: Mladé letá 1973. 227 s.",,Jozef František Kunik - Šukar čajori. Krásne dievča,1973,1945,nov,slk,lib,Šukar čajori. Krásne dievča,YYY,pro,org,img,1945
2020-05-20-a-1,Alfonz Bednár,msc,"Bednár, Alfonz: Sklený vrch. Bratislava: Smena 1974. 433 s.",,Alfonz Bednár - Sklený vrch,1974,1954,nov,slk,lib,Sklený vrch,YYY,pro,org,img,1954
2020-09-28-b-1,Ján Bodenek,msc,"Bodenek, Ján: Z vlčích dní. Bratislava: Slovenský spisovateľ 1964. 124 s.",zbierka povstaleckých poviedok,Ján Bodenek - Z vlčích dní,1964,1947,col,slk,lib,Z vlčích dní,YYY,pro,org,img,1947
2020-10-14-c-1,Rudolf Jašík,msc,"Jašík, Rudolf: Námestie svätej Alžbety. Bratislava: Slovenský spisovateľ 1982. 248 s.",Diela Rudolfa Jašíka 2. zv.,Rudolf Jašík - Námestie svätej Alžbety,1982,1958,nov,slk,lib,Námestie svätej Alžbety,YYY,pro,org,img,1958
